record_id,date,division,product_line,region,units_sold,revenue_krw,cost_krw,subscription_ratio_pct,thinq_satisfaction_score
LG-2026-0073,2026-09-16,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),68,238000000,167168974,29.1,92.4
LG-2026-0074,2026-03-19,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),39,93600000,62973832,31.9,87.0
LG-2026-0075,2026-02-10,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),160,560000000,410979872,34.8,93.2
LG-2026-0076,2026-08-20,HE사업본부,OLED evo (TV),한국(Korea),122,341600000,221917471,47.7,93.9
LG-2026-0077,2026-05-11,H&A사업본부,DIOS & Objet (주방가전),한국(Korea),103,216300000,155099431,44.5,87.4
LG-2026-0078,2026-08-16,HE사업본부,OLED evo (TV),인도·아시아(APAC),49,137200000,95615865,43.1,88.9
LG-2026-0079,2026-01-23,신성장구독랩,StanbyME & Care (신가전·시제품),한국(Korea),85,97750000,73777744,24.5,89.4
LG-2026-0080,2026-05-25,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),180,432000000,304970728,38.5,
LG-2026-0081,2026-06-15,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),145,166750000,119281759,37.8,90.6
LG-2026-0082,2026-09-26,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),158,379200000,281173675,46.8,97.0
LG-2026-0083,2026-04-16,HE사업본부,OLED evo (TV),인도·아시아(APAC),176,492800000,378510176,18.9,97.2
LG-2026-0084,2026-08-14,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),145,166750000,106759634,43.8,86.9
LG-2026-0085,2026-09-14,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),108,378000000,266577870,23.7,93.8
LG-2026-0086,2026-05-15,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),48,55200000,34763439,19.0,93.0
LG-2026-0087,2026-01-15,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),83,95450000,69761737,23.0,85.7
LG-2026-0088,2026-04-26,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),120,138000000,96373510,18.9,91.4
LG-2026-0089,2026-06-14,HE사업본부,OLED evo (TV),한국(Korea),153,428400000,297524817,22.7,94.1
LG-2026-0090,2026-05-20,HE사업본부,OLED evo (TV),북미(North America),135,378000000,237878073,43.3,88.8
LG-2026-0091,2026-07-16,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),56,64400000,41899432,30.7,95.0
LG-2026-0092,2026-09-23,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),76,182400000,132396794,29.2,90.7
LG-2026-0093,2026-08-27,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),132,277200000,203134039,36.9,97.1
LG-2026-0094,2026-03-13,H&A사업본부,WashTower & Tromm (리빙가전),인도·아시아(APAC),38,91200000,67328256,20.4,85.6
LG-2026-0095,2026-01-27,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),67,234500000,152492508,47.5,96.8
LG-2026-0096,2026-09-24,H&A사업본부,DIOS & Objet (주방가전),유럽(Europe),180,378000000,251724813,18.3,88.9
LG-2026-0097,2026-04-21,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),105,367500000,285750726,22.3,85.5
LG-2026-0098,2026-09-20,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),111,127650000,92072261,38.9,84.7
LG-2026-0099,2026-09-13,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),35,122500000,85133762,41.9,91.4
LG-2026-0100,2026-08-28,HE사업본부,OLED evo (TV),한국(Korea),90,252000000,159487474,33.8,84.6
LG-2026-0101,2026-03-20,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),113,129950000,100517474,34.2,92.3
LG-2026-0102,2026-01-11,HE사업본부,OLED evo (TV),유럽(Europe),21,58800000,40142409,43.8,86.3
LG-2026-0103,2026-03-19,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),169,194350000,124218405,45.2,97.0
LG-2026-0104,2026-04-26,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),76,159600000,117260390,25.3,90.3
LG-2026-0105,2026-02-28,HE사업본부,OLED evo (TV),한국(Korea),122,341600000,238516276,31.2,92.0
LG-2026-0106,2026-07-11,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),166,581000000,405104524,46.4,84.2
LG-2026-0107,2026-07-28,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),50,105000000,69149403,26.0,91.0
LG-2026-0108,2026-06-16,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),105,120750000,91664072,33.9,86.2
LG-2026-0109,2026-07-22,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),156,374400000,259521322,42.1,94.9
LG-2026-0110,2026-05-21,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),77,184800000,116087305,23.1,94.1
LG-2026-0111,2026-09-13,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),80,192000000,147816393,39.2,84.5
LG-2026-0112,2026-08-26,HE사업본부,OLED evo (TV),인도·아시아(APAC),155,434000000,293777650,46.8,95.9
LG-2026-0113,2026-05-16,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),63,220500000,138368666,37.6,85.2
LG-2026-0114,2026-09-15,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),88,101200000,73209728,25.8,90.4
LG-2026-0115,2026-04-27,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),141,0,105397500,34.3,93.4
LG-2026-0116,2026-02-24,HE사업본부,OLED evo (TV),인도·아시아(APAC),133,372400000,245324438,29.6,84.2
LG-2026-0117,2026-07-18,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),58,139200000,89969728,40.7,86.7
LG-2026-0118,2026-09-17,HE사업본부,OLED evo (TV),유럽(Europe),134,375200000,233761127,40.6,85.0
LG-2026-0119,2026-07-12,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),53,111300000,72134978,22.2,91.4
LG-2026-0120,2026-09-21,H&A사업본부,WashTower & Tromm (리빙가전),인도·아시아(APAC),176,422400000,284875770,35.0,
LG-2026-0121,2026-04-19,HE사업본부,OLED evo (TV),북미(North America),166,464800000,336536472,29.3,87.2
LG-2026-0122,2026-03-24,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),93,106950000,66488429,45.6,84.4
LG-2026-0123,2026-08-13,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),77,269500000,199451299,46.6,86.1
LG-2026-0124,2026-05-10,HE사업본부,OLED evo (TV),북미(North America),47,131600000,94499234,30.2,88.2
LG-2026-0125,2026-08-28,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),170,357000000,275512665,36.8,89.1
LG-2026-0126,2026-07-18,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),39,93600000,70491239,20.0,90.0
LG-2026-0127,2026-05-20,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),128,268800000,177447316,30.3,94.0
LG-2026-0128,2026-05-22,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),41,47150000,33366508,47.7,86.8
LG-2026-0129,2026-06-27,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),98,235200000,175933147,21.9,87.1
LG-2026-0130,2026-07-18,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),68,78200000,55354069,34.1,96.3
LG-2026-0131,2026-04-19,H&A사업본부,WashTower & Tromm (리빙가전),한국(Korea),130,312000000,202207311,40.0,88.1
LG-2026-0132,2026-01-19,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),125,143750000,92000825,37.1,97.3
LG-2026-0133,2026-09-26,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),167,192050000,129439848,30.4,88.0
LG-2026-0134,2026-09-17,신성장구독랩,StanbyME & Care (신가전·시제품),한국(Korea),172,197800000,133718229,40.5,97.4
LG-2026-0135,2026-04-27,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),122,140300000,96622084,45.3,92.4
LG-2026-0136,2026-07-25,HE사업본부,OLED evo (TV),인도·아시아(APAC),106,296800000,189096766,32.7,86.9
LG-2026-0137,2026-02-13,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),126,144900000,94231608,20.5,84.4
LG-2026-0138,2026-02-23,HE사업본부,OLED evo (TV),유럽(Europe),116,324800000,225144327,33.5,88.7
LG-2026-0139,2026-06-14,H&A사업본부,DIOS & Objet (주방가전),유럽(Europe),97,203700000,155544688,20.0,85.3
LG-2026-0140,2026-09-25,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),175,612500000,389505309,42.6,85.4
LG-2026-0141,2026-08-13,H&A사업본부,WashTower & Tromm (리빙가전),한국(Korea),167,400800000,256487275,22.5,88.7
LG-2026-0142,2026-02-24,HE사업본부,OLED evo (TV),인도·아시아(APAC),48,134400000,83770824,44.3,90.3
LG-2026-0143,2026-07-15,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),30,105000000,73089648,47.9,94.1
LG-2026-0144,2026-02-21,HE사업본부,OLED evo (TV),인도·아시아(APAC),178,498400000,329401620,25.4,91.4
LG-2026-0145,2026-07-13,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),17,40800000,29229169,25.7,94.7
LG-2026-0146,2026-05-20,HE사업본부,OLED evo (TV),유럽(Europe),108,302400000,207349219,35.3,92.6
LG-2026-0147,2026-03-26,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),172,197800000,132471413,36.1,94.0
LG-2026-0148,2026-07-18,HE사업본부,OLED evo (TV),인도·아시아(APAC),79,221200000,156804908,31.8,87.4
LG-2026-0149,2026-05-19,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),166,581000000,375370704,27.3,95.0
LG-2026-0150,2026-06-13,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),170,408000000,253086365,35.8,86.7
LG-2026-0151,2026-06-23,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),118,413000000,296518739,38.3,92.2
LG-2026-0152,2026-07-21,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),164,344400000,244904145,40.8,88.8
LG-2026-0153,2026-05-27,HE사업본부,OLED evo (TV),한국(Korea),137,383600000,259937711,36.1,90.3
LG-2026-0154,2026-05-10,H&A사업본부,DIOS & Objet (주방가전),북미(North America),44,92400000,63671072,45.4,89.2
LG-2026-0155,2026-09-24,HE사업본부,OLED evo (TV),유럽(Europe),70,196000000,123963142,39.3,86.4
LG-2026-0156,2026-02-23,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),171,196650000,138163640,26.7,92.3
LG-2026-0157,2026-07-11,HE사업본부,OLED evo (TV),유럽(Europe),44,123200000,94279201,20.2,94.7
LG-2026-0158,2026-07-21,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),127,146050000,107744218,43.9,94.2
LG-2026-0159,2026-09-15,HE사업본부,OLED evo (TV),인도·아시아(APAC),63,176400000,121071175,37.2,86.0
LG-2026-0160,2026-07-25,H&A사업본부,WashTower & Tromm (리빙가전),인도·아시아(APAC),27,64800000,40753136,47.0,
LG-2026-0161,2026-03-23,H&A사업본부,WashTower & Tromm (리빙가전),인도·아시아(APAC),177,424800000,316691731,41.4,87.9
LG-2026-0162,2026-05-10,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),84,294000000,206922538,27.6,86.0
LG-2026-0163,2026-01-21,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),64,224000000,152718961,47.0,88.9
LG-2026-0164,2026-09-27,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),85,97750000,64027838,20.8,88.6
LG-2026-0165,2026-09-21,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),154,0,115115000,24.8,86.7
LG-2026-0166,2026-05-28,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),58,139200000,90628876,21.6,87.4
LG-2026-0167,2026-02-14,H&A사업본부,WashTower & Tromm (리빙가전),인도·아시아(APAC),107,256800000,166926772,28.8,86.4
LG-2026-0168,2026-05-25,HE사업본부,OLED evo (TV),한국(Korea),151,422800000,329044923,46.1,88.7
LG-2026-0169,2026-02-16,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),93,223200000,147963585,41.7,89.3
LG-2026-0170,2026-06-19,H&A사업본부,DIOS & Objet (주방가전),한국(Korea),46,96600000,74847634,20.2,95.1
LG-2026-0171,2026-04-16,HE사업본부,OLED evo (TV),한국(Korea),48,134400000,103239981,31.1,87.9
LG-2026-0172,2026-05-25,H&A사업본부,DIOS & Objet (주방가전),북미(North America),22,46200000,30137636,27.6,92.5
LG-2026-0173,2026-08-25,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),100,115000000,85024589,28.7,87.0
LG-2026-0174,2026-09-26,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),30,63000000,47868037,46.1,86.7
LG-2026-0175,2026-01-23,신성장구독랩,StanbyME & Care (신가전·시제품),한국(Korea),118,135700000,102808106,37.4,85.1
LG-2026-0176,2026-07-13,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),28,32200000,20167591,37.8,86.0
LG-2026-0177,2026-05-16,H&A사업본부,DIOS & Objet (주방가전),한국(Korea),46,96600000,61713302,37.4,89.7
LG-2026-0178,2026-03-22,HE사업본부,OLED evo (TV),인도·아시아(APAC),17,47600000,29804438,32.2,97.1
LG-2026-0179,2026-07-23,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),65,74750000,49951588,30.9,88.2
LG-2026-0180,2026-09-28,HE사업본부,OLED evo (TV),인도·아시아(APAC),66,184800000,126300941,44.2,95.5
LG-2026-0181,2026-06-27,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),82,172200000,133721838,44.6,87.2
LG-2026-0182,2026-04-19,H&A사업본부,DIOS & Objet (주방가전),북미(North America),64,134400000,87341279,24.6,90.2
LG-2026-0183,2026-05-12,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),134,469000000,294000427,46.8,87.7
LG-2026-0184,2026-09-26,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),85,297500000,200450206,40.8,94.9
LG-2026-0185,2026-01-26,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),95,332500000,211018263,26.4,93.4
LG-2026-0186,2026-05-18,H&A사업본부,DIOS & Objet (주방가전),유럽(Europe),78,163800000,122781937,46.5,96.3
LG-2026-0187,2026-08-26,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),87,208800000,148356393,32.4,87.7
LG-2026-0188,2026-07-12,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),155,372000000,246465934,18.2,87.6
LG-2026-0189,2026-01-10,신성장구독랩,StanbyME & Care (신가전·시제품),한국(Korea),118,135700000,99119870,18.0,94.0
LG-2026-0190,2026-01-28,H&A사업본부,DIOS & Objet (주방가전),북미(North America),175,367500000,265171478,32.7,84.3
LG-2026-0191,2026-04-17,HE사업본부,OLED evo (TV),북미(North America),128,358400000,233605188,22.7,94.8
LG-2026-0192,2026-09-25,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),110,385000000,240725379,33.8,84.5
LG-2026-0193,2026-02-13,HE사업본부,OLED evo (TV),인도·아시아(APAC),150,420000000,320638376,30.0,97.0
LG-2026-0194,2026-04-26,H&A사업본부,WashTower & Tromm (리빙가전),한국(Korea),117,280800000,190066765,23.6,85.1
LG-2026-0195,2026-01-19,HE사업본부,OLED evo (TV),유럽(Europe),24,67200000,50799159,24.2,84.1
LG-2026-0196,2026-08-13,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),114,273600000,202691833,44.3,97.0
LG-2026-0197,2026-03-23,H&A사업본부,WashTower & Tromm (리빙가전),한국(Korea),104,249600000,187268502,19.3,87.3
LG-2026-0198,2026-08-25,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),25,28750000,21065380,41.3,94.6
LG-2026-0199,2026-03-16,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),101,353500000,253306860,39.3,86.3
LG-2026-0200,2026-03-25,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),63,151200000,97609236,19.8,
LG-2026-0201,2026-02-19,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),146,511000000,326876837,21.6,91.5
LG-2026-0202,2026-06-11,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),20,70000000,48672984,25.8,88.6
LG-2026-0203,2026-09-14,H&A사업본부,WashTower & Tromm (리빙가전),인도·아시아(APAC),116,278400000,208946570,33.0,85.3
LG-2026-0204,2026-05-13,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),163,570500000,371596236,20.7,91.4
LG-2026-0205,2026-07-22,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),56,196000000,129848530,40.5,95.0
LG-2026-0206,2026-03-10,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),147,352800000,251055735,43.8,97.4
LG-2026-0207,2026-07-15,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),94,225600000,162660834,26.8,84.4
LG-2026-0208,2026-06-11,HE사업본부,OLED evo (TV),유럽(Europe),134,375200000,279701988,35.8,93.2
LG-2026-0209,2026-08-10,HE사업본부,OLED evo (TV),인도·아시아(APAC),30,84000000,59370284,38.1,91.0
LG-2026-0210,2026-02-17,H&A사업본부,DIOS & Objet (주방가전),한국(Korea),46,96600000,61754124,19.6,96.3
LG-2026-0211,2026-07-16,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),175,420000000,283444182,35.7,86.4
